"name","death_date","description","pageviews"
"Peri Vaevae Pare","2020-05-27","Cook Islands politician","22"
"Vegard Vigerust","2020-05-27","Norwegian author","11"
"Earl McCune","2020-05-27","American electrical engineer","0"
"Evelyn Nicol","2020-05-27","American immunologist and microbiologist","0"
"Bob Kulick","2020-05-28","American guitarist (W.A.S.P., Lou Reed) and record producer (Kiss)","161698"
"M. P. Veerendra Kumar","2020-05-28","Indian journalist and politician","67834"
"David Owen Brooks","2020-05-28","American serial killer","43785"
"Guy Bedos","2020-05-28","French actor (''Sweet and Sour'', ''Pardon Mon Affaire, Too!'', ''All Together'') and comedian","33647"
"Brendan Bowyer","2020-05-28","Irish singer (""The Hucklebuck"")","25792"
"Paul Shrubb","2020-05-28","English football player (Brentford, Aldershot, Aldershot Town)","22650"
"Lennie Niehaus","2020-05-28","American saxophonist and film composer (''Unforgiven'', ''The Bridges of Madison County'', ''Space Cowboys'')","9626"
"Claude Goasguen","2020-05-28","French politician","7495"
"Gustavo Guillén","2020-05-28","Argentine actor (''Chiquititas'') and drummer","6659"
"Claude Heater","2020-05-28","American opera singer","6252"
"Suzanne Roquette","2020-05-28","German actress","4618"
"Charlie Monttana","2020-05-28","Mexican rock urbano singer","4406"
"F. Enzio Busche","2020-05-28","German LDS Church general authority","3168"
"Jaroslav Švach","2020-05-28","Czech footballer (Zlín)","2345"
"Gracia Barrios","2020-05-28","Chilean painter","1476"
"Wolfram Paulus","2020-05-28","Austrian film director (''Heidenlöcher'') and screenwriter","1291"
"Celine Fariala Mangaza","2020-05-28","Congolese disability advocate","1231"
"Reed Scowen","2020-05-28","Canadian politician","1087"
"Robert M. Laughlin","2020-05-28","American anthropologist and linguist (Tzotzil language)","793"
"Gustaaf De Smet","2020-05-28","Belgian Olympic cyclist (1956)","761"
"Ron Withem","2020-05-28","American politician","391"
"Mary D'Imperio","2020-05-28","American cryptographer","325"
"Jock Blair","2020-05-28","Australian television writer and producer (''Homicide'', ''The Sullivans'', ''Paradise Beach'')","255"
"Vernon Kerr","2020-05-28","American politician","195"
"Jim Brown","2020-05-28","Australian politician","130"
"Ajit Jogi","2020-05-29","Indian politician","147199"
"Bejan Daruwalla","2020-05-29","Indian astrology columnist","77797"
"Yogesh","2020-05-29","Indian lyricist (''Anand'', ''Manzilein Aur Bhi Hain'', ''Manzil'')","32331"
"Shahine Robinson","2020-05-29","Jamaican politician","21920"
"Maikanti Baru","2020-05-29","Nigerian crude oil marketer","14576"
"Jerzy Pilch","2020-05-29","Polish journalist and writer","13110"
"Abderrahmane Youssoufi","2020-05-29","Moroccan politician","11705"
"Roosevelt Taylor","2020-05-29","American football player (Chicago Bears, San Francisco 49ers, Washington Redskins)","10113"
"Curtis Cokes","2020-05-29","American Hall of Fame boxer","8023"
"Gilberto Dimenstein","2020-05-29","Brazilian journalist (''Folha de S.Paulo'')","4380"
"Louis P. Sheldon","2020-05-29","American Anglican priest","3577"
"Célio Taveira","2020-05-29","Brazilian footballer (Vasco da Gama, Nacional, national team)","3347"
"Evaldo Gouveia","2020-05-29","Brazilian singer and songwriter","2501"
"Ron Johnston","2020-05-29","British geographer","2501"
"Eric Schreurs","2020-05-29","Dutch cartoonist","2376"
"Christopher Brocklebank-Fowler","2020-05-29","British politician","2114"
"Henri Baudouin","2020-05-29","French politician","1156"
"Alfred Kolleritsch","2020-05-29","Austrian writer","1141"
"Hank Mason","2020-05-29","American baseball player (Philadelphia Phillies)","1120"
"Susie Simcock","2020-05-29","New Zealand sports administrator","1110"
"Delores Brumfield","2020-05-29","American baseball player (South Bend Blue Sox, Kenosha Comets, Fort Wayne Daisies)","1064"
"Henk Steevens","2020-05-29","Dutch racing cyclist (1953 Tour de France)","1054"
"Jeanie Lambe","2020-05-29","Scottish jazz singer","1006"
"Randy Staten","2020-05-29","American football player (New York Giants) and politician","923"
"Ernest Wooton","2020-05-29","American politician","528"
"John Bermingham","2020-05-29","American politician","513"
"Hank Stackpole","2020-05-29","American military officer","489"
"Walter Cahn","2020-05-29","German-born American medievalist and art historian","480"
"Leslie R. Lemon","2020-05-29","American meteorologist","462"
"Darwin Young","2020-05-29","American politician","454"
"Joe Yeninas","2020-05-29","American cartoonist","383"
"Sidney Locks","2020-05-29","American politician","126"
"Henry Brault","2020-05-29","French Olympic runner (1952)","71"
"Eva Hodgson","2020-05-29","Bermudian activist and writer","0"
"Bhanwar Lal Sharma","2020-05-29","Indian politician","0"
"Michael Angelis","2020-05-30","British actor (''Boys from the Blackstuff'', ''The Liver Birds'', ''Thomas & Friends'')","239526"
"Hassan Hosny","2020-05-30","Egyptian actor (''Nasser 56'', ''El-Limby'', ''Bobbos'')","47786"
"Bobby Morrow","2020-05-30","American Hall of Fame sprinter","29649"
"Elsa Dorfman","2020-05-30","American photographer","23228"
"Mady Mesplé","2020-05-30","French operatic soprano","12713"
"John Nzenze","2020-05-30","Kenyan musician","11877"
"Michel Gauthier","2020-05-30","Canadian politician","11209"
"Yawovi Agboyibo","2020-05-30","Togolese politician","9440"
"Bob Hammond","2020-05-30","Australian Hall of Fame football player (North Adelaide, Norwood) and coach (Sydney Swans)","5234"
"Sir John Coward","2020-05-30","British vice admiral","4251"
"Don Weller","2020-05-30","English jazz saxophonist","3578"
"Chick Gillen","2020-05-30","Irish boxer","3225"
"Bobby Dimond","2020-05-30","Australian rugby league footballer (Western Suburbs, New South Wales, national team)","3067"
"John Cole","2020-05-30","Australian-born British geographer","2539"
"Arnold Umbach","2020-05-30","American baseball player (Milwaukee/Atlanta Braves)","2309"
"Roger Decock","2020-05-30","Belgian racing cyclist","1876"
"Louise Page","2020-05-30","British dramatist","1330"
"Marshal Perera","2020-05-30","Sri Lankan politician","1084"
"Károly Wieland","2020-05-30","Hungarian sprint canoeist","628"
"John Leedham","2020-05-30","Australian footballer","597"
"Edward O. Phillips","2020-05-30","Canadian writer","499"
"Ana Portnoy","2020-05-30","Argentine photographer","485"
"Józef Grzesiak","2020-05-30","Polish Olympic bronze medallist boxer (1964)","447"
"Phil Croyle","2020-05-30","American football player (Houston Oilers, Buffalo Bills)","418"
"Xavier Grau i Masip","2020-05-30","Spanish artist","331"
"Trevor Thomas","2020-05-30","British historian","209"
"Fachtna Joseph Harte","2020-05-30","Irish priest","0"
"Kim Yong-un","2020-05-30","South Korean mathematician","0"
"James Scurlock","2020-05-30","American protester","0"
"Danny Havoc","2020-05-31","American professional wrestler (CZW)","123501"
"Irene Triplett","2020-05-31","American woman","18607"
"Osia Lewis","2020-05-31","American football player (Oregon State, Chicago Bruisers) and coach (Vanderbilt)","15216"
"Christo","2020-05-31","Bulgarian-born American artist (''Running Fence'')","13551"
"Dan van Husen","2020-05-31","German actor (''Fellini's Casanova'', ''Salon Kitty'', ''Nosferatu the Vampyre'')","13338"
"Norman Lamm","2020-05-31","American rabbi","11507"
"Jayanendra Chand Thakuri","2020-05-31","Nepali actor (''Kanchhi'', ''Pheri Bhetaula'', ''Tapasya'')","11100"
"Bob Northern","2020-05-31","American jazz French hornist","4956"
"Tan Aik Mong","2020-05-31","Malaysian badminton player","4380"
"Bob Bennett","2020-05-31","American Hall of Fame college baseball coach (Fresno State)","4311"
"Carina Boberg","2020-05-31","Swedish actress","3093"
"Muhammad Yahya Rasool Nagari","2020-05-31","Pakistani Qāriʾ and Qira'at teacher","1164"
"Badrul Feisal Abdul Rahim","2020-05-31","Malaysian businessman","988"
"Lia Schwartz","2020-05-31","Argentine-American literary scholar and historian","805"
"Peggy Wallace","2020-05-31","American politician","677"
"Lewis Marquardt","2020-05-31","American politician","545"
"John Furnival","2020-05-31","British artist and teacher","250"
"David N. Ott","2020-05-31","American politician","231"
"William Vobach","2020-05-31","American politician","176"
"Kjell B. Hansen","2020-05-31","Norwegian politician","57"
"Dennis L. Freeman","2020-05-31","American politician","26"
"Pedro Kozak","2020-05-31","Argentine football player and manager","0"
"Majek Fashek","2020-06-01","Nigerian reggae singer and songwriter","113538"
"Pat Dye","2020-06-01","American Hall of Fame college football player (Georgia Bulldogs)","52329"
"Joey Image","2020-06-01","American drummer (Misfits)","29965"
"Silver Donald Cameron","2020-06-01","Canadian journalist and author","24549"
"Roberto Peccei","2020-06-01","Italian physicist","6172"
"Asif Farrukhi","2020-06-01","Pakistani writer","6040"
"Lee Grosscup","2020-06-01","American football player (New York Giants) and broadcaster (ABC)","5592"
"Piotr Rocki","2020-06-01","Polish footballer (Polonia Warsaw, Górnik Zabrze, Dyskobolia Grodzisk Wielkopolski)","5096"
"Myroslav Skoryk","2020-06-01","Ukrainian composer","4807"
"Nicolas Rea, 3rd Baron Rea","2020-06-01","British hereditary peer and politician","4763"
"Christoph Sydow","2020-06-01","German journalist (''Der Spiegel'')","4649"
"K. N. Lakshmanan","2020-06-01","Indian politician","4195"
"Javier Alva Orlandini","2020-06-01","Peruvian politician","3337"
"Janez Kocijančič","2020-06-01","Slovenian politician and lawyer","2376"
"Giyannedra Prasad","2020-06-01","Fijian lawyer and politician","2292"
"Ron Larrieu","2020-06-01","American Olympic athlete (1964)","928"
"David McAtee","2020-06-01","American barbecue stand owner","865"
"Marian Filar","2020-06-01","Polish lawyer","644"
"Marion Zarzeczna","2020-06-01","American pianist","632"
"Pedro Ercílio Simon","2020-06-01","Brazilian Roman Catholic prelate","591"
"Jean-Michel Cadiot","2020-06-01","French writer and journalist","500"
"Colin Manlove","2020-06-01","Scottish literary critic and editor","379"
"Garth Dawley","2020-06-01","Canadian journalist","376"
"Josef Smolka","2020-06-01","Czech volleyball player","332"
"John Hartigan","2020-06-01","American Olympic rower (1968)","117"
"Douglas Rolfe","2020-06-01","Australian cricketer (Victoria, South Australia)","76"
"Bill Hill","2020-06-01","American Canadian football player (Edmonton Eskimos)","49"
"Daniel Levy","2020-06-01","Israeli Olympic basketball player (1952)","48"
"Wes Unseld","2020-06-02","American Hall of Fame basketball player and coach (Washington Bullets)","235566"
"Chris Trousdale","2020-06-02","American actor and singer (Dream Street)","198572"
"Mary Pat Gleason","2020-06-02","American actress (''Guiding Light'', ''A Cinderella Story'', ''Mom'')","153054"
"Héctor Suárez","2020-06-02","Mexican actor (''National Mechanics'', ''El buscabullas'', ''El derecho de nacer'') and comedian","139314"
"Arrogate","2020-06-02","American Thoroughbred racehorse","46350"
"Carlo Ubbiali","2020-06-02","Italian motorcycle road racer","21829"
"Ghulam Murtaza Baloch","2020-06-02","Pakistani politician","9526"
"Sean Monterrosa","2020-06-02","American protester","8486"
"Munir Khan Orakzai","2020-06-02","Pakistani politician","4564"
"Janine Reiss","2020-06-02","French vocal coach and harpsichordist","4419"
"Rusty Kidd","2020-06-02","American politician","4070"
"Geoffrey Burnstock","2020-06-02","English-born Australian neuroscientist","3038"
"Henadz Mardas","2020-06-02","Belarusian footballer (Neman Grodno, BATE Borisov)","2928"
"John Luk Jok","2020-06-02","South Sudanese politician","2844"
"Floyd Zaiger","2020-06-02","American fruit breeder","2480"
"Werner Böhm","2020-06-02","German singer and musician","2369"
"Brad Babcock","2020-06-02","American college baseball coach (James Madison)","1662"
"Gaynel Hodge","2020-06-02","American doo-wop singer (The Platters)","1477"
"Jean-Claude Hamel","2020-06-02","French football executive","1375"
"Yvon Lamarre","2020-06-02","Canadian politician","1249"
"Jacques Noyer","2020-06-02","French Roman Catholic prelate","1169"
"Paolo Fabbri","2020-06-02","Italian semiotician","1111"
"Lugi Gizenga","2020-06-02","Congolese politician","1027"
"Roberto Gervaso","2020-06-02","Italian writer and journalist","1001"
"John Cuneo","2020-06-02","Australian sailor","974"
"Jean Pineau","2020-06-02","French politician","864"
"Riaz Sheikh","2020-06-02","Pakistani cricketer (Pakistan National Shipping Corporation)","862"
"James F. English Jr.","2020-06-02","American bank executive (Connecticut Bank and Trust Company) and academic administrator","678"
"Muriel Kent Roy","2020-06-02","Canadian demographer","521"
"Lindsay Townsend","2020-06-02","New Zealand rugby union player (Otago, national team)","327"
"Hiber Conteris","2020-06-02","Uruguayan writer","139"
"Gerald Jay Goldberg","2020-06-02","American author","139"
"Jono Clarke","2020-06-02","Zimbabwean cricketer (Rhodesia)","0"
"David Dorn","2020-06-02","American police officer","0"
"Leslie Kay","2020-06-02","British-born New Zealand electrical engineer and academic","0"
"Des Moore","2020-06-02","Australian Roman Catholic prelate","0"
"Johnny Majors","2020-06-03","American Hall of Fame football player (Tennessee Volunteers) and coach (Pitt Panthers, Iowa State Cyclones)","85273"
"Bruce Jay Friedman","2020-06-03","American author and screenwriter (''Splash'', ''Doctor Detroit'', ''Stir Crazy'')","36794"
"Abdelmalek Droukdel","2020-06-03","Algerian Islamic militant","19450"
"Mohsen Ibrahim","2020-06-03","Lebanese politician","10645"
"Marc de Hond","2020-06-03","Dutch television presenter and wheelchair basketball player","8934"
"Héctor Ortega","2020-06-03","Mexican actor (''Las fuerzas vivas'', ''Santa sangre'', ''Lucía, Lucía'')","7382"
"Conrad Worrill","2020-06-03","American writer and political activist","5652"
"Shaukat Manzoor Cheema","2020-06-03","Pakistani politician","5434"
"Pleasantly Perfect","2020-06-03","American racehorse and sire","4660"
"Jeanne Goosen","2020-06-03","South African writer","4611"
"Mian Jamshed Uddin Kakakhel","2020-06-03","Pakistani politician","3783"
"Donald Macgregor","2020-06-03","Scottish Olympic runner (1972)","2872"
"Maria Alice Vergueiro","2020-06-03","Brazilian actress (''O Corpo'', ''Cronicamente Inviável'')","2508"
"Gary Potts","2020-06-03","Canadian Temagami First Nation chief","2011"
"Lawrence M. Walsh Sr.","2020-06-03","American politician","1579"
"Oscar Brown","2020-06-03","American baseball player (Atlanta Braves)","1511"
"István Kausz","2020-06-03","Hungarian fencer","1429"
"Atta Muhammad Bhanbhro","2020-06-03","Pakistani writer and translator","1235"
"Valentina Tăzlăuanu","2020-06-03","Moldovan essayist","1053"
"Midge Ware","2020-06-03","American actress (''Gunslinger'', ''The Phil Silvers Show'')","927"
"Jerzy Łukaszewski","2020-06-03","Polish diplomat and academic","921"
"Mário Rino Sivieri","2020-06-03","Italian-born Brazilian Roman Catholic prelate","855"
"Pritam Singh","2020-06-03","Indian academic","465"
"Tony Romandini","2020-06-03","Canadian jazz guitarist and composer","418"
"Veli Lehtelä","2020-06-03","Finnish rower","338"
"Ray Webster","2020-06-03","American baseball player (Cleveland Indians, Boston Red Sox)","237"
"Sheikh Tahir Rasheed","2020-06-03","Pakistani politician","1"
"Bob Dupuis","2020-06-03","American ice hockey player (Boston University Terriers)","0"
"Adriano Silva","2020-06-03","Brazilian politician","0"
"Steve Priest","2020-06-04","British musician (The Sweet) and songwriter (""Fox on the Run"")","158961"
"Basu Chatterjee","2020-06-04","Indian film director (''Us Paar'', ''Piya Ka Ghar'', ''Chameli Ki Shaadi'')","133895"
"Rupert Hine","2020-06-04","English musician (Quantum Jump)","50167"
"Marcello Abbado","2020-06-04","Italian pianist and composer","23600"
"Roberto Faraone Mennella","2020-06-04","Italian jewelry designer","20316"
"Pete Rademacher","2020-06-04","American boxer","9689"
"Bobby Locke","2020-06-04","American baseball player (Cleveland Indians, Philadelphia Phillies)","4165"
"Bamidele Olumilua","2020-06-04","Nigerian politician","3240"
"Laura Hillman","2020-06-04","German-born American Holocaust survivor","2822"
"Albert N. Whiting","2020-06-04","American academic administrator","2554"
"Dulce Nunes","2020-06-04","Brazilian artist","2410"
"Mikhail Kokshenov","2020-06-04","Russian actor (''Zhenya, Zhenechka and Katyusha'', ''The Garage'', ''Sportloto-82'')","2067"
"Kathryn Hach-Darrow","2020-06-04","American businesswoman","1780"
"Jean Link","2020-06-04","Luxembourgish Olympic fencer (1960)","1491"
"Don E. Schultz","2020-06-04","American marketing theorist and professor","1373"
"Pieter van der Kruk","2020-06-04","Dutch Olympic weightlifter (1968) and shot putter","1196"
"Ralph Caplan","2020-06-04","American design consultant and writer","990"
"Earl Brown","2020-06-04","American lieutenant general","675"
"Antonio Rodríguez de las Heras","2020-06-04","Spanish historian and academic","649"
"James P. Quirk","2020-06-04","American economist","548"
"Max Clendinning","2020-06-04","Northern Irish furniture designer and architect","282"
"Walt Elliot","2020-06-04","Canadian politician","267"
"Kurt Thomas","2020-06-05","American Hall of Fame gymnast","214620"
"George V. Murry","2020-06-05","American Roman Catholic prelate","26226"
"Kristin Linklater","2020-06-05","Scottish actress","14433"
"Ved Marwah","2020-06-05","Indian police officer","9459"
"Jonathan Dowling","2020-06-05","Irish-American theoretical physicist","8148"
"Tomisaku Kawasaki","2020-06-05","Japanese pediatrician","7219"
"Rosemary Hollis","2020-06-05","British political scientist","5400"
"Howard Allen","2020-06-05","American serial killer","5172"
"Andrée Champagne","2020-06-05","Canadian actress (''Les Belles Histoires des pays d'en haut'') and politician","4724"
"Jim Fryatt","2020-06-05","English footballer (Bradford Park Avenue, Oldham Athletic, Southport)","4698"
"John Miller","2020-06-05","American baseball player (Baltimore Orioles)","4206"
"Vicki Wood","2020-06-05","American racing driver (NASCAR)","4048"
"Boris Gaganelov","2020-06-05","Bulgarian football player (Belasita Petrich, CSKA Sofia, national team) and manager","3227"
"Mary Overlie","2020-06-05","American choreographer","3148"
"Doris Goodale","2020-06-05","American politician","2972"
"Marian Tomaszewski","2020-06-05","Polish scout leader","2420"
"James Albert Murray","2020-06-05","American Roman Catholic prelate","2111"
"Ron Thompson","2020-06-05","English footballer (Carlisle United)","1906"
"Jiří Hanák","2020-06-05","Czech journalist and dissident","1792"
"Shigeru Yokota","2020-06-05","Japanese author and human rights activist","1419"
"Carlos Lessa","2020-06-05","Brazilian economist","1317"
"Vilhelm Kraus","2020-06-05","Bulgarian politician","1073"
"Betty Ann Norton","2020-06-05","Irish acting teacher","966"
"A. Dale Kaiser","2020-06-05","American biochemist and developmental biologist","902"
"Deborah Washington Brown","2020-06-05","American computer scientist","798"
"Friedrich Stelzner","2020-06-05","German surgeon and educator","659"
"Ko Si-chi","2020-06-05","Taiwanese photographer","140"
"Xu Sihai","2020-06-05","Chinese teapot creator and collector","126"
"Reche Caldwell","2020-06-06","American football player (San Diego Chargers, New England Patriots, Washington Redskins)","239726"
"Marjan","2020-06-06","Iranian singer and actress","25579"
"Jordi Mestre","2020-06-06","Spanish actor (''Sé lo que hicisteis...'') and model","18355"
"Corey Fischer","2020-06-06","American actor (''M*A*S*H'', ''Brewster McCloud'', ''McCabe & Mrs. Miller'')","11985"
"Christel DeHaan","2020-06-06","German-born American timeshare exchange executive and philanthropist","11601"
"Ramadan Shalah","2020-06-06","Palestinian Islamic militant","9789"
"John Zook","2020-06-06","American football player (Atlanta Falcons, St. Louis Cardinals)","8397"
"Chandrakanta Goyal","2020-06-06","Indian politician","7233"
"Lester Ryan","2020-06-06","Irish hurler (Clara, Kilkenny)","6576"
"Allan Evans","2020-06-06","American record producer and musicologist","5235"
"Hsu Kun-yuan","2020-06-06","Taiwanese politician","5128"
"Milt Earnhart","2020-06-06","American politician","4355"
"Eduard Shaihullin","2020-06-06","Russian motorcycle speedway rider","3955"
"Constantin Xenakis","2020-06-06","Egyptian-born Greek painter","3223"
"T. Terrell Sessums","2020-06-06","American politician","2267"
"Malcolm Terris","2020-06-06","English actor (''When the Boat Comes In'', ''Coronation Street'', ''The Plague Dogs'')","1924"
"Thomas Freeman","2020-06-06","American educator and debate coach","1579"
"Alain Erlande-Brandenburg","2020-06-06","French art historian","1578"
"Arthur Berman","2020-06-06","American politician","1556"
"Jean-Marc Chaput","2020-06-06","Canadian author and public speaker","1516"
"Andrea Veggio","2020-06-06","Italian Roman Catholic prelate","1513"
"Dietmar Seyferth","2020-06-06","German-born American chemist","1453"
"Bill Oster","2020-06-06","American baseball player (Philadelphia Athletics)","877"
"Dan Danglo","2020-06-06","American cartoonist (''Felix the Cat'')","871"
"Uttam Gada","2020-06-06","Indian screenwriter and playwright","865"
"Jayamohan Thampi","2020-06-06","Indian cricketer (Kerala)","780"
"Zambrose Abdul Rahman","2020-06-06","Malaysian Olympic hurdler (1968)","682"
"Earl Davie","2020-06-06","American biochemist","477"
"Jean-Marie Bourgeois","2020-06-06","French Olympic skier (1968)","235"
"Francesco Squillace","2020-06-06","Italian lawyer and politician","115"
"Chiranjeevi Sarja","2020-06-07","Indian actor (''Vayuputra'', ''Varadhanayaka'', ''Aatagara'')","2047285"
"Ken Riley","2020-06-07","American football player (Cincinnati Bengals) and coach (Florida A&M Rattlers)","25800"
"Hubert Gagnon","2020-06-07","Canadian actor (''Nic and Pic'') and voice dubber (Homer Simpson)","21670"
"Frank Bey","2020-06-07","American blues singer","15694"
"Lynika Strozier","2020-06-07","American biologist and researcher","12262"
"Paul Rochester","2020-06-07","American football player (New York Jets, Dallas Texans)","4404"
"Ralph Wright","2020-06-07","English footballer (Bolton Wanderers, New York Cosmos, Miami Toros)","3961"
"Alan Metter","2020-06-07","American film director (''Back to School'', ''Girls Just Want to Have Fun'')","3815"
"Oliver McGee","2020-06-07","American political analyst and strategist","3543"
"Sir Michael Beavis","2020-06-07","British Royal Air Force officer","2970"
"Jean Bolinder","2020-06-07","Swedish author","2459"
"Edith Thallaug","2020-06-07","Norwegian actress and operatic singer","1761"
"Péter Marót","2020-06-07","Hungarian fencer","1683"
"Marina Blagojević","2020-06-07","Serbian sociologist","1669"
"Józef Gruszka","2020-06-07","Polish politician","1641"
"James D. Meindl","2020-06-07","American engineer","1458"
"Floyd Lee","2020-06-07","American blues musician (Music Under New York)","1213"
"Paul Lombard","2020-06-07","French politician","1079"
"Paul Boundoukou-Latha","2020-06-07","Gabonese diplomat and politician","707"
"Bettina Heinen-Ayech","2020-06-07","German painter","626"
"Roger Saint-Vil","2020-06-07","Haitian footballer (Racing CH, Cincinnati Comets, national team)","421"
"Doris Jones-Baker","2020-06-07","British-American historian and folklorist","126"
"Denis Howe","2020-06-07","English football (Southend United, Darlington, West Ham United)","69"
"Pierre Nkurunziza","2020-06-08","Burundian politician","286003"
"Bonnie Pointer","2020-06-08","American singer (The Pointer Sisters) and songwriter (""Fairytale"", ""How Long (Betcha' Got a Chick on the Side)"")","254092"
"Tony Dunne","2020-06-08","Irish football player (Manchester United, Bolton Wanderers, national team) and manager","62348"
"Manuel Felguérez","2020-06-08","Mexican abstract artist (Generación de la Ruptura)","20770"
"James Hand","2020-06-08","American country music singer-songwriter","15559"
"Ian Taylor","2020-06-08","British commodity trading executive","11363"
"Marion Hänsel","2020-06-08","French-born Belgian film director and screenwriter (''Between the Devil and the Deep Blue Sea'')","4864"
"Arjun Charan Sethi","2020-06-08","Indian politician","4637"
"Maggie Fitzgibbon","2020-06-08","Australian actress (''Sunstruck'')","2205"
"Fabrizio Mioni","2020-06-08","Italian actor (''Roland the Mighty'', ''Hercules'')","2115"
"Stan London","2020-06-08","American physician (St. Louis Cardinals)","2019"
"Klaus Berger","2020-06-08","German academic theologian","1874"
"Sardar Dur Muhammad Nasir","2020-06-08","Pakistani politician","1663"
"Sedley Joseph","2020-06-08","Trinidadian footballer (national team)","1544"
"Shim Wan-koo","2020-06-08","South Korean politician","1474"
"Daniel Stolper","2020-06-08","American oboist","1441"
"Stefan Vodenicharov","2020-06-08","Bulgarian academic","1219"
"Nicholas Cummings","2020-06-08","American psychologist and author","1195"
"Tavares Moreira","2020-06-08","Portuguese economist","1022"
"Heli Susi","2020-06-08","Estonian teacher and translator","823"
"Tobias Berggren","2020-06-08","Swedish poet","752"
"G. C. Jennings","2020-06-08","American politician","542"
"R. L. Clark","2020-06-08","American politician","361"
"Renzo Bulgarello","2020-06-08","Italian Olympic rower (1972)","227"
"Oliver Ongtawco","2020-06-08","Filipino bowler","100"
"Jas Waters","2020-06-09","American television writer (''This Is Us'', ''Kidding'') and columnist (''Vibe'')","105858"
"Pau Donés","2020-06-09","Spanish singer-songwriter (Jarabe de Palo) and guitarist","50187"
"Paul Chapman","2020-06-09","Welsh rock guitarist (UFO, Lone Star)","44615"
"Dick Johnson","2020-06-09","American news reporter (WMAQ-TV)","39787"
"Kasirye Ggwanga","2020-06-09","Ugandan military officer","22730"
"Simon Henshaw","2020-06-09","American diplomat","10496"
"Nemir Kirdar","2020-06-09","Iraqi-British investment banker and financier","6941"
"Gwen Margolis","2020-06-09","American politician","3551"
"Ajay Singh","2020-06-09","Indian diplomat and politician","3274"
"Wang Dingguo","2020-06-09","Chinese politician","3107"
"Michael Drosnin","2020-06-09","American author and journalist","2882"
"Ödön Földessy","2020-06-09","Hungarian long jumper","2631"
"Francis Lagan","2020-06-09","Irish Roman Catholic prelate","2383"
"Parviz Aboutaleb","2020-06-09","Iranian football player (Rah Ahan, Esteghlal) and manager (national team)","2312"
"Kim Chang-sop","2020-06-09","North Korean politician","2186"
"William Russell Robinson","2020-06-09","American politician","2023"
"Ain Kaalep","2020-06-09","Estonian writer and poet","1661"
"Noel Johnson","2020-06-09","47 American college basketball coach (Midwestern State)","1557"
"Joseph Mohsen Béchara","2020-06-09","Lebanese Maronite Catholic hierarch","1080"
"Jean-Philippe Reverdot","2020-06-09","French photographer","987"
"Chrysostomos P. Panayiotopoulos","2020-06-09","Greek neurologist","636"
"Jeanne Rynhart","2020-06-09","Irish sculptor","574"
"Adam Wodnicki","2020-06-09","Polish translator and writer","561"
"Krystyna Krupska-Wysocka","2020-06-09","Polish film director","527"
"Anthony Obiagboso Enukeme","2020-06-09","Nigerian politician","151"
"Tom Feamster","2020-06-09","American football player (Baltimore Colts)","83"
"J. Anbazhagan","2020-06-10","Indian politician","102577"
"Claudell Washington","2020-06-10","American baseball player (Atlanta Braves, New York Yankees, Oakland Athletics)","49636"
"Mr. Wrestling II","2020-06-10","American professional wrestler (GCW, Mid-South, CWF)","44822"
"Anita Linda","2020-06-10","Filipino actress (''Weighed But Found Wanting'', ''Jaguar'', ''Temptation Island'')","32104"
"Rosita Fornés","2020-06-10","Cuban-American actress (''Musical Romance'', ''The Unknown Mariachi'') and singer","25595"
"Hans Mezger","2020-06-10","German automotive engineer (Porsche)","14814"
"Elizabeth-Ann de Massy","2020-06-10","Monegasque aristocrat","12282"
"Harry Glickman","2020-06-10","American Hall of Fame sports executive (Portland Trail Blazers) and journalist (''The Oregonian'')","9901"
"Sarunyoo Wongkrachang","2020-06-10","Thai actor (''13 Beloved'', ''Ong Bak 2'') and film director (''Kon Khon'')","9804"
"Michel Bellen","2020-06-10","Belgian serial killer","6825"
"Miliky MiCool","2020-06-10","Ghanaian actress","6374"
"Justin Champion","2020-06-10","British historian","4703"
"Eppie Wietzes","2020-06-10","Dutch-born Canadian racing driver","3859"
"Zoogin","2020-06-10","Swedish racehorse","3135"
"Stuart Lyon Smith","2020-06-10","Canadian politician","2376"
"Murray Olderman","2020-06-10","American sports columnist","1820"
"Joan Ferner","2020-06-10","Canadian-born New Zealand women's rights advocate","1796"
"William Hale","2020-06-10","American film and television director (''Gunfight in Abilene'', ''Red Alert'', ''Murder in Texas'')","1399"
"Hans Cieslarczyk","2020-06-10","German football player (Borussia Dortmund, national team) and manager (SpVgg Fürth)","1385"
"Antonio González Orozco","2020-06-10","Mexican muralist","1255"
"Duilio Arigoni","2020-06-10","Swiss chemist","1021"
"William Tietz","2020-06-10","American veterinarian and academic administrator","1005"
"Talat Özkarslı","2020-06-10","Turkish football player (Galatasaray, national team) and manager (Gaziantepspor)","890"
"Paul Owen","2020-06-10","Canadian cricketer (Gloucestershire)","787"
"Aloysius G. Casey","2020-06-10","American lieutenant general","695"
"Dorothy Kovalchick","2020-06-10","American baseball player (Fort Wayne Daisies)","620"
"Jesse Blackadder","2020-06-10","Australian novelist","443"
"Charlotte Gardner","2020-06-10","American politician","399"
"Edward Ross Ritvo","2020-06-10","American psychiatrist","364"
"James Holland","2020-06-10","American politician","355"
"Murray Hill","2020-06-10","New Zealand seed technologist","302"
"Fred McIlhattan","2020-06-10","American politician","249"
"Tom Keeping","2020-06-10","Canadian politician","52"
